regiao;descricao;tipo_sin;numSinistros;indenizacoes
01;RS - Met. Porto Alegre e Caxias do Sul;APP;15;159461
01;RS - Met. Porto Alegre e Caxias do Sul;CASCO;91355;273192742
01;RS - Met. Porto Alegre e Caxias do Sul;RCDM;14329;92443298
01;RS - Met. Porto Alegre e Caxias do Sul;RCDP;144;2438190
01;RS - Met. Porto Alegre e Caxias do Sul;TOTAL;105843;368233691
02;RS - Demais regiões;APP;53;922744
02;RS - Demais regiões;CASCO;88005;341581626
02;RS - Demais regiões;RCDM;16938;112400886
02;RS - Demais regiões;RCDP;135;2814072
02;RS - Demais regiões;TOTAL;105131;457719328
03;SC - Met. Florianópolis e Sul;APP;16;201201
03;SC - Met. Florianópolis e Sul;CASCO;49686;136652010
03;SC - Met. Florianópolis e Sul;RCDM;7686;50208793
03;SC - Met. Florianópolis e Sul;RCDP;41;1452796
03;SC - Met. Florianópolis e Sul;TOTAL;57429;188514800
04;SC - Oeste;APP;16;391060
04;SC - Oeste;CASCO;23180;107118707
04;SC - Oeste;RCDM;6734;46072564
04;SC - Oeste;RCDP;76;992403
04;SC - Oeste;TOTAL;30006;154574734
05;SC - Blumenau e demais regiões;APP;27;346652
05;SC - Blumenau e demais regiões;CASCO;60842;243115855
05;SC - Blumenau e demais regiões;RCDM;12687;80166596
05;SC - Blumenau e demais regiões;RCDP;140;2257591
05;SC - Blumenau e demais regiões;TOTAL;73696;325886694
06;PR - F.Iguaþu-Medianeira-Cascavel-Toledo;APP;21;433639
06;PR - F.Iguaþu-Medianeira-Cascavel-Toledo;CASCO;20539;101685321
06;PR - F.Iguaþu-Medianeira-Cascavel-Toledo;RCDM;4929;35962142
06;PR - F.Iguaþu-Medianeira-Cascavel-Toledo;RCDP;66;818842
06;PR - F.Iguaþu-Medianeira-Cascavel-Toledo;TOTAL;25555;138899944
07;PR - Met. Curitiba;APP;29;383548
07;PR - Met. Curitiba;CASCO;105938;332639869
07;PR - Met. Curitiba;RCDM;15185;102591788
07;PR - Met. Curitiba;RCDP;135;1336263
07;PR - Met. Curitiba;TOTAL;121287;436951468
08;PR - Demais regiões;APP;36;788893
08;PR - Demais regiões;CASCO;70290;255006839
08;PR - Demais regiões;RCDM;11938;81516716
08;PR - Demais regiões;RCDP;122;1782589
08;PR - Demais regiões;TOTAL;82386;339095037
09;SP - Vale do Paraíba e Ribeira;APP;7;154599
09;SP - Vale do Paraíba e Ribeira;CASCO;104036;201591520
09;SP - Vale do Paraíba e Ribeira;RCDM;7906;44961070
09;SP - Vale do Paraíba e Ribeira;RCDP;62;841146
09;SP - Vale do Paraíba e Ribeira;TOTAL;112011;247548335
10;SP - Litoral Norte e Baixada Santista;APP;5;14987
10;SP - Litoral Norte e Baixada Santista;CASCO;62846;82716550
10;SP - Litoral Norte e Baixada Santista;RCDM;3055;19872917
10;SP - Litoral Norte e Baixada Santista;RCDP;28;305929
10;SP - Litoral Norte e Baixada Santista;TOTAL;65934;102910383
11;SP - Met. de São Paulo;APP;54;862942
11;SP - Met. de São Paulo;CASCO;915981;1442595828
11;SP - Met. de São Paulo;RCDM;56888;336346821
11;SP - Met. de São Paulo;RCDP;790;10942859
11;SP - Met. de São Paulo;TOTAL;973713;1790748450
12;SP - Grande Campinas;APP;13;152002
12;SP - Grande Campinas;CASCO;112489;268268603
12;SP - Grande Campinas;RCDM;12482;72748711
12;SP - Grande Campinas;RCDP;88;1024898
12;SP - Grande Campinas;TOTAL;125072;342194214
13;SP - Ribeirão Preto e Demais Mun. de Campinas;APP;77;1239914
13;SP - Ribeirão Preto e Demais Mun. de Campinas;CASCO;344598;971015778
13;SP - Ribeirão Preto e Demais Mun. de Campinas;RCDM;43720;247873136
13;SP - Ribeirão Preto e Demais Mun. de Campinas;RCDP;381;5955827
13;SP - Ribeirão Preto e Demais Mun. de Campinas;TOTAL;388776;1226084655
14;MG - Triângulo mineiro;APP;23;304739
14;MG - Triângulo mineiro;CASCO;44341;187565670
14;MG - Triângulo mineiro;RCDM;7015;46014465
14;MG - Triângulo mineiro;RCDP;56;841791
14;MG - Triângulo mineiro;TOTAL;51435;234726665
15;MG - Sul;APP;27;415140
15;MG - Sul;CASCO;45389;142839458
15;MG - Sul;RCDM;5087;30449727
15;MG - Sul;RCDP;41;616109
15;MG - Sul;TOTAL;50544;174320434
16;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;APP;39;664540
16;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;CASCO;160634;495745493
16;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;RCDM;20819;127772253
16;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;RCDP;155;1628194
16;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes;TOTAL;181647;625810480
17;MG - Vale do Aço-Norte-Vale Jequitinhonha;APP;4;30000
17;MG - Vale do Aço-Norte-Vale Jequitinhonha;CASCO;14189;56910921
17;MG - Vale do Aço-Norte-Vale Jequitinhonha;RCDM;1983;13008346
17;MG - Vale do Aço-Norte-Vale Jequitinhonha;RCDP;10;156517
